用户层级,测评维度,指标含义,测评子维度,问题编号,问题,相关性,计分规则
高层,战略与远见,衡量管理者能否洞察宏观趋势，制定清晰可落地的战略目标,商业洞察,B01,能主动关注并分析宏观经济、行业动态及政策变化对公司业务的影响,,
高层,战略与远见,衡量管理者能否洞察宏观趋势，制定清晰可落地的战略目标,商业洞察,B02,会定期收集并分析竞争对手和客户需求的最新变化,,
高层,战略与远见,衡量管理者能否洞察宏观趋势，制定清晰可落地的战略目标,商业洞察,B03,能清晰列举未来1-2年内本业务可能出现的新机会,,
高层,战略与远见,衡量管理者能否洞察宏观趋势，制定清晰可落地的战略目标,战略规划,B04,能够结合外部趋势与内部优势，形成清晰且可落地的战略目标,,
高层,战略与远见,衡量管理者能否洞察宏观趋势，制定清晰可落地的战略目标,战略规划,B05,当多个机会出现时，能果断放弃与核心目标无关的项目,,
高层,战略与远见,衡量管理者能否洞察宏观趋势，制定清晰可落地的战略目标,战略规划,B06,能够通过目标分解、责任分配和进度监控，确保战略从高层决策到基层操作的贯通性,,
高层,战略与远见,衡量管理者能否洞察宏观趋势，制定清晰可落地的战略目标,战略规划,B07,清晰地知道未来的机遇和企业可能碰到的挑战和风险,,
高层,战略与远见,衡量管理者能否洞察宏观趋势，制定清晰可落地的战略目标,创新能力,B08,能够敏锐捕捉行业技术变革、市场格局变化、客户需求变化、政策法规调整等信号，并预判其对企业的影响,A02,
高层,战略与远见,衡量管理者能否洞察宏观趋势，制定清晰可落地的战略目标,创新能力,B09,明确传达”允许试错、从错误中学习”的理念，组织中的员工敢于大胆提出想法,A05,
高层,战略与远见,衡量管理者能否洞察宏观趋势，制定清晰可落地的战略目标,创新能力,B10,信息不完全时，也敢于支持小规模、低成本的快速原型测试与迭代,A09,
高层,组织与文化,反映管理者在推动制度化管理、建立高效流程，以及塑造结果导向和协作共担的组织文化方面的能力,文化塑造,B11,主动推动与促进跨部门协作，打破部门墙，并建立有效合作机制,A10,
高层,组织与文化,反映管理者在推动制度化管理、建立高效流程，以及塑造结果导向和协作共担的组织文化方面的能力,文化塑造,B12,团队未达标时，更关注根本原因和改进方案而非追责,A16,
高层,组织与文化,反映管理者在推动制度化管理、建立高效流程，以及塑造结果导向和协作共担的组织文化方面的能力,文化塑造,B13,在分配任务时，总能做到明确行动项目、责任人、完成时间，并按照确切的时间节点进行追踪,A22,
高层,组织与文化,反映管理者在推动制度化管理、建立高效流程，以及塑造结果导向和协作共担的组织文化方面的能力,文化塑造,B14,能关心员工福祉，提升组织的凝聚力和员工敬业度,A10,
高层,组织与文化,反映管理者在推动制度化管理、建立高效流程，以及塑造结果导向和协作共担的组织文化方面的能力,人才培养,B15,让潜力员工通过实战项目快速成长,,
高层,组织与文化,反映管理者在推动制度化管理、建立高效流程，以及塑造结果导向和协作共担的组织文化方面的能力,人才培养,B16,我能把合适的人放到合适的位置上，安排他们做适合的工作,A13,
高层,组织与文化,反映管理者在推动制度化管理、建立高效流程，以及塑造结果导向和协作共担的组织文化方面的能力,人才培养,B17,给与下属有效的辅导和发展机会,A03,
高层,组织与文化,反映管理者在推动制度化管理、建立高效流程，以及塑造结果导向和协作共担的组织文化方面的能力,人才培养,B18,建立至少3条核心流程防范关键人才流失风险,,
高层,组织与文化,反映管理者在推动制度化管理、建立高效流程，以及塑造结果导向和协作共担的组织文化方面的能力,决策与授权,B19,重大决策前，能充分听取各方意见并进行系统分析,A14,
高层,组织与文化,反映管理者在推动制度化管理、建立高效流程，以及塑造结果导向和协作共担的组织文化方面的能力,决策与授权,B20,能授权下属，让他们在职责范围内有充分的自主权,A06,
高层,组织与文化,反映管理者在推动制度化管理、建立高效流程，以及塑造结果导向和协作共担的组织文化方面的能力,决策与授权,B21,建立有效的绩效管理体系，跟踪战略执行情况，对执行中的偏差及时干预,A08,
高层,组织与文化,反映管理者在推动制度化管理、建立高效流程，以及塑造结果导向和协作共担的组织文化方面的能力,决策与授权,B22,能亲自抓关键业务，对重要项目的成败负最终责任,,
高层,资源利用能力,反映管理者在整合和优化内外部资源、提升协作效率以及合理分配任务与权责方面，助力组织目标实现的能力 ,资源整合,B23,能够清晰识别未来3-5年的所需的核心资源及关键缺口，并提前布局,,
高层,资源利用能力,反映管理者在整合和优化内外部资源、提升协作效率以及合理分配任务与权责方面，助力组织目标实现的能力 ,资源整合,B24,能有效维护与关键客户、供应商的战略合作关系，妥善处理与政府、监管机构的关系,,
高层,资源利用能力,反映管理者在整合和优化内外部资源、提升协作效率以及合理分配任务与权责方面，助力组织目标实现的能力 ,资源整合,B25,能够规划最有资源结构，以平衡风险与回报,,
高层,资源利用能力,反映管理者在整合和优化内外部资源、提升协作效率以及合理分配任务与权责方面，助力组织目标实现的能力 ,资源整合,B26,能拓展个人及公司的外部网络资源为公司战略服务,,
高层,资源利用能力,反映管理者在整合和优化内外部资源、提升协作效率以及合理分配任务与权责方面，助力组织目标实现的能力 ,资源管理,B27,在信息不完整的情况下，在危机或基于窗口期，基于战略方向敢于调配资源,A09,
高层,资源利用能力,反映管理者在整合和优化内外部资源、提升协作效率以及合理分配任务与权责方面，助力组织目标实现的能力 ,资源管理,B28,根据市场反馈和项目进展，及时调整资源分配，确保资源投入在合理的项目上,,
高层,资源利用能力,反映管理者在整合和优化内外部资源、提升协作效率以及合理分配任务与权责方面，助力组织目标实现的能力 ,资源管理,B29,当骨干团队成员争夺资源时，我有能力采用公平合理、公司利益最大化的方式进行快速决策,A11,
高层,危机韧性,衡量管理者在面对危机和重大挑战时，能否保持冷静、快速响应、有效决策并带领团队共克难关，展现出坚韧与应变能力,危机意识,B30,快速识别环境变化、识别潜在的战略风险，评估影响并修正战略路径,A15,
高层,危机韧性,衡量管理者在面对危机和重大挑战时，能否保持冷静、快速响应、有效决策并带领团队共克难关，展现出坚韧与应变能力,危机意识,B31,当核心业务突然崩盘（如政策叫停），能够在72小时内切换生存模式,A17,
高层,危机韧性,衡量管理者在面对危机和重大挑战时，能否保持冷静、快速响应、有效决策并带领团队共克难关，展现出坚韧与应变能力,危机意识,B32,公司的核心业务和核心资源，总是有备份的预案 (plan B),,
高层,危机韧性,衡量管理者在面对危机和重大挑战时，能否保持冷静、快速响应、有效决策并带领团队共克难关，展现出坚韧与应变能力,快速纠错,B33,发现战略失误后能快速调整方向，并协调相应资源开始行动,A01,
高层,危机韧性,衡量管理者在面对危机和重大挑战时，能否保持冷静、快速响应、有效决策并带领团队共克难关，展现出坚韧与应变能力,快速纠错,B34,在决策过程中，会主动设置关键的验证节点和熔断机制，以便及时发现问题,A07,
高层,危机韧性,衡量管理者在面对危机和重大挑战时，能否保持冷静、快速响应、有效决策并带领团队共克难关，展现出坚韧与应变能力,快速纠错,B35,当出现错误决策或执行偏差的迹象时，能第一时间承认并启动调查，而非掩盖问题,A04,
