用户层级,测评维度,指标含义,测评子维度,问题编号,问题,相关性,计分规则
基层,任务管理与执行,反映管理者能否将复杂任务有效拆解、合理分配、清晰传达，并能跟踪进展、优化流程和严格执行标准，从而带领团队高效完成目标,,D01,能够将复杂的任务和要求拆解成简单清晰的步骤分派给下属,,
基层,任务管理与执行,反映管理者能否将复杂任务有效拆解、合理分配、清晰传达，并能跟踪进展、优化流程和严格执行标准，从而带领团队高效完成目标,,D02,能清晰无误地向员工传达工作任务和要求，并跟踪任务进展，确保按时保质完成,A08,
基层,任务管理与执行,反映管理者能否将复杂任务有效拆解、合理分配、清晰传达，并能跟踪进展、优化流程和严格执行标准，从而带领团队高效完成目标,,D03,能根据工作计划合理分配每日/每周任务给员工,,
基层,任务管理与执行,反映管理者能否将复杂任务有效拆解、合理分配、清晰传达，并能跟踪进展、优化流程和严格执行标准，从而带领团队高效完成目标,,D04,能按照重要和紧急的程度，妥善安排工作，并优先处理重要且紧急的任务,,
基层,任务管理与执行,反映管理者能否将复杂任务有效拆解、合理分配、清晰传达，并能跟踪进展、优化流程和严格执行标准，从而带领团队高效完成目标,,D05,能发现工作流程中的小问题，并尝试改进,A01,
基层,任务管理与执行,反映管理者能否将复杂任务有效拆解、合理分配、清晰传达，并能跟踪进展、优化流程和严格执行标准，从而带领团队高效完成目标,,D06,能严格按照标准操作规程（SOP）执行,A09,
基层,团队氛围与激励,考察管理者在塑造团队氛围与激励员工的能力表现,,D07,能公平对待团队中的每一位员工,A20,
基层,团队氛围与激励,考察管理者在塑造团队氛围与激励员工的能力表现,,D08,能及时表扬和肯定员工的良好表现和进步,,
基层,团队氛围与激励,考察管理者在塑造团队氛围与激励员工的能力表现,,D09,能关注员工的情绪变化，并进行沟通和关心,,
基层,团队氛围与激励,考察管理者在塑造团队氛围与激励员工的能力表现,,D10,能营造一种相互帮助、共同完成目标的团队氛围,,
基层,团队氛围与激励,考察管理者在塑造团队氛围与激励员工的能力表现,,D11,能化解团队成员之间的小摩擦和矛盾,,
基层,团队氛围与激励,考察管理者在塑造团队氛围与激励员工的能力表现,,D12,能组织一些小活动来增强团队凝聚力,,
基层,团队氛围与激励,考察管理者在塑造团队氛围与激励员工的能力表现,,D13,在工作中能保持积极、乐观的心态，并感染他人,A19,
基层,团队氛围与激励,考察管理者在塑造团队氛围与激励员工的能力表现,,D14,能代表团队向上级争取应有的资源和支持,A11,
基层,工作指导与教练,测评管理者如何培养员工技能和解决问题的能力,,D15,能亲自示范，教会新员工或技能不足的员工如何操作,A03,
基层,工作指导与教练,测评管理者如何培养员工技能和解决问题的能力,,D16,当员工遇到困难时，能提供及时的技术指导和支持,,
基层,工作指导与教练,测评管理者如何培养员工技能和解决问题的能力,,D17,能分享自己的工作经验和小绩效，帮助员工提升效率,,
基层,工作指导与教练,测评管理者如何培养员工技能和解决问题的能力,,D18,能耐心解答员工提出的各种业务问题,,
基层,工作指导与教练,测评管理者如何培养员工技能和解决问题的能力,,D19,能鼓励员工提出改进工作的想法,A07,
基层,工作指导与教练,测评管理者如何培养员工技能和解决问题的能力,,D20,能发现员工操作中的错误，并立即纠正,,
基层,工作指导与教练,测评管理者如何培养员工技能和解决问题的能力,,D21,能为员工的技能提升提供练习或实践的机会,A03,
基层,沟通与反馈,该指标衡量管理者在促进信息流通、增进理解与协作、提升团队执行力方面的沟通与反馈能力,,D22,能定期与每位员工进行一对一沟通，了解其情况,,
基层,沟通与反馈,该指标衡量管理者在促进信息流通、增进理解与协作、提升团队执行力方面的沟通与反馈能力,,D23,能认真倾听员工的意见和建议,A06,
基层,沟通与反馈,该指标衡量管理者在促进信息流通、增进理解与协作、提升团队执行力方面的沟通与反馈能力,,D24,能清晰地将公司的相关政策和信息传达给员工,,
基层,沟通与反馈,该指标衡量管理者在促进信息流通、增进理解与协作、提升团队执行力方面的沟通与反馈能力,,D25,能客观、具体地向员工反馈其工作中的有点和不足,A12,
基层,沟通与反馈,该指标衡量管理者在促进信息流通、增进理解与协作、提升团队执行力方面的沟通与反馈能力,,D26,能有效地将员工的诉求和困难汇报给上级,,
基层,沟通与反馈,该指标衡量管理者在促进信息流通、增进理解与协作、提升团队执行力方面的沟通与反馈能力,,D27,在交接班或跨组跨部门协作时，能进行清晰有效的沟通,A15,
基层,沟通与反馈,该指标衡量管理者在促进信息流通、增进理解与协作、提升团队执行力方面的沟通与反馈能力,,D28,能鼓励员工之间进行开放的交流和知识的分享,,
基层,个人效能与榜样,该指标衡量管理者在专业能力、抗压性、积极心态、持续学习和以身作则等方面的表现，体现其作为团队榜样的个人效能与影响力。,,D29,个人专业技能过硬，是团队的技术骨干,,
基层,个人效能与榜样,该指标衡量管理者在专业能力、抗压性、积极心态、持续学习和以身作则等方面的表现，体现其作为团队榜样的个人效能与影响力。,,D30,能承受较大的工作压力，保持情绪稳定,A23,
基层,个人效能与榜样,该指标衡量管理者在专业能力、抗压性、积极心态、持续学习和以身作则等方面的表现，体现其作为团队榜样的个人效能与影响力。,,D31,遇到问题，能积极面对，不抱怨、不推诿,A17,
基层,个人效能与榜样,该指标衡量管理者在专业能力、抗压性、积极心态、持续学习和以身作则等方面的表现，体现其作为团队榜样的个人效能与影响力。,,D32,愿意学习新知识、新技能，并应用于工作,A02,
基层,个人效能与榜样,该指标衡量管理者在专业能力、抗压性、积极心态、持续学习和以身作则等方面的表现，体现其作为团队榜样的个人效能与影响力。,,D33,言行一致，能够得到团队成员的信任,A22,
基层,开放式问题,,,D34,他/她在教导新员工或帮助员工提升技能方面，哪一点做的最好？请举例,,
基层,开放式问题,,,D35,您认为他/她在日常任务分配和人员安排上，有哪些可以改进的地方？,,
基层,开放式问题,,,D36,请描述一个他/她通过有效激励或沟通，快速提振团队士气的例子,,
