用户层级,测评维度,指标含义,测评子维度,问题编号,问题,相关性,计分规则
中层,战略执行,衡量管理者能否将公司战略有效转化为部门目标和可执行计划，统筹资源、灵活应变、分解任务并推动落地，确保战略目标的高效实现的能力,战略落地,C01,能准确理解公司战略，并将其转化为本部门的具体目标和计划，并能与上级确认理解准确,A02,
中层,战略执行,衡量管理者能否将公司战略有效转化为部门目标和可执行计划，统筹资源、灵活应变、分解任务并推动落地，确保战略目标的高效实现的能力,战略落地,C02,能看到系统组织中各部门及各种指标之间的关联性,A02,
中层,战略执行,衡量管理者能否将公司战略有效转化为部门目标和可执行计划，统筹资源、灵活应变、分解任务并推动落地，确保战略目标的高效实现的能力,战略落地,C03,能向团队清晰解释“为什么做”，而不仅仅是“做什么”,,
中层,战略执行,衡量管理者能否将公司战略有效转化为部门目标和可执行计划，统筹资源、灵活应变、分解任务并推动落地，确保战略目标的高效实现的能力,战略落地,C04,能够将年度目标分解为具体、可执行的阶段性任务，确保每项任务均有责任人、完成标准、截止时间,A08,
中层,战略执行,衡量管理者能否将公司战略有效转化为部门目标和可执行计划，统筹资源、灵活应变、分解任务并推动落地，确保战略目标的高效实现的能力,资源整合,C05,在资源不足的情况下，能够灵活调整计划节奏或寻求替代方案，以确保任务的推进,A17,
中层,战略执行,衡量管理者能否将公司战略有效转化为部门目标和可执行计划，统筹资源、灵活应变、分解任务并推动落地，确保战略目标的高效实现的能力,资源整合,C06,能够提前预判所需资源，并提前协调跨部门资源，确保计划的执行,A09,
中层,战略执行,衡量管理者能否将公司战略有效转化为部门目标和可执行计划，统筹资源、灵活应变、分解任务并推动落地，确保战略目标的高效实现的能力,资源整合,C07,能合理并灵活的配置和利用现有的人财物资源，调配合适的资源确保本团队关键任务的完成,,
中层,战略执行,衡量管理者能否将公司战略有效转化为部门目标和可执行计划，统筹资源、灵活应变、分解任务并推动落地，确保战略目标的高效实现的能力,资源整合,C08,能够调整工作流程，并充分利用低成本或免费资源，推进工作任务,,
中层,战略执行,衡量管理者能否将公司战略有效转化为部门目标和可执行计划，统筹资源、灵活应变、分解任务并推动落地，确保战略目标的高效实现的能力,敏捷反应,C09,用小范围测试， 验证方案可行性，避免全军覆没风险,A09,
中层,战略执行,衡量管理者能否将公司战略有效转化为部门目标和可执行计划，统筹资源、灵活应变、分解任务并推动落地，确保战略目标的高效实现的能力,敏捷反应,C10,外部变化导致原计划失效时，能够快速找到修正方案，确保原目标达成,A01,
中层,人才管理,人才加速培养与保留的能力，以及符合企业特性的激励体系的设计能力，体现其对团队人才管理的能力水平,人才培养,C11,能够灵活调整工作内容或培训方式，使团队成员能够更快掌握关键技能,A13,
中层,人才管理,人才加速培养与保留的能力，以及符合企业特性的激励体系的设计能力，体现其对团队人才管理的能力水平,人才培养,C12,能够根据不同人安排不同的培训方式，有效培养团队成员,A03,
中层,人才管理,人才加速培养与保留的能力，以及符合企业特性的激励体系的设计能力，体现其对团队人才管理的能力水平,人才培养,C13,有能力保留和激励公司需要的核心人才，并能及时识别并淘汰不符合公司发展需要的人员,A12,
中层,人才管理,人才加速培养与保留的能力，以及符合企业特性的激励体系的设计能力，体现其对团队人才管理的能力水平,人才培养,C14,有骨干流失预警意识，找到阻碍优秀员工留任的痛点，预防优秀员工离职,,
中层,人才管理,人才加速培养与保留的能力，以及符合企业特性的激励体系的设计能力，体现其对团队人才管理的能力水平,人才激励,C15,能利用非物质手段增强团队成员的归属感和认同感，提升团队整体向心力,,
中层,人才管理,人才加速培养与保留的能力，以及符合企业特性的激励体系的设计能力，体现其对团队人才管理的能力水平,人才激励,C16,能及时给予团队成员正向激励和认可，提升士气,A19,
中层,人才管理,人才加速培养与保留的能力，以及符合企业特性的激励体系的设计能力，体现其对团队人才管理的能力水平,人才激励,C17,会因人而异，给予团队成员不同形式的认可与激励,A13,
中层,人才管理,人才加速培养与保留的能力，以及符合企业特性的激励体系的设计能力，体现其对团队人才管理的能力水平,人才激励,C18,认为关注员工的工作业绩比关注员工的情绪状态更重要,A12,反，6-得分
中层,协作共赢,衡量管理者在跨部门协作、责任担当、冲突管理等方面，能否主动推动合作、有效协调资源、承担责任并妥善化解冲突，促进团队与组织的协同共赢,跨部门协作,C19,针对需多部门协作的任务，能24小时内主动组织首次会议并产出分工表,A11,
中层,协作共赢,衡量管理者在跨部门协作、责任担当、冲突管理等方面，能否主动推动合作、有效协调资源、承担责任并妥善化解冲突，促进团队与组织的协同共赢,跨部门协作,C20,当大家做事方式不一致时，我会坚持我的做事方式，并试图让其他人也采取我的方式,A14,反，6-得分
中层,协作共赢,衡量管理者在跨部门协作、责任担当、冲突管理等方面，能否主动推动合作、有效协调资源、承担责任并妥善化解冲突，促进团队与组织的协同共赢,跨部门协作,C21,愿意分享本部门的资源和信息以支持其他部门工作,A15,
中层,协作共赢,衡量管理者在跨部门协作、责任担当、冲突管理等方面，能否主动推动合作、有效协调资源、承担责任并妥善化解冲突，促进团队与组织的协同共赢,责任担当,C22,当出现“三不管”问题时，会主动划定临时责任边界,A11,
中层,协作共赢,衡量管理者在跨部门协作、责任担当、冲突管理等方面，能否主动推动合作、有效协调资源、承担责任并妥善化解冲突，促进团队与组织的协同共赢,责任担当,C23,在与他人的人际关系出现问题时，自己能够主动承担相应责任,A06,
中层,协作共赢,衡量管理者在跨部门协作、责任担当、冲突管理等方面，能否主动推动合作、有效协调资源、承担责任并妥善化解冲突，促进团队与组织的协同共赢,责任担当,C24,在开展工作遇到障碍或突发事件时，能够自发组织相关人员，利用合理资源，加以解决,A18,
中层,协作共赢,衡量管理者在跨部门协作、责任担当、冲突管理等方面，能否主动推动合作、有效协调资源、承担责任并妥善化解冲突，促进团队与组织的协同共赢,冲突管理,C25,在部门之间产生争执时，能提出双方可接受的第三方案,A05,
中层,协作共赢,衡量管理者在跨部门协作、责任担当、冲突管理等方面，能否主动推动合作、有效协调资源、承担责任并妥善化解冲突，促进团队与组织的协同共赢,冲突管理,C26,我认为与其两败俱伤，还不如快速寻找一个大家都能基本接受的折中方案以解决争端,A04,
中层,协作共赢,衡量管理者在跨部门协作、责任担当、冲突管理等方面，能否主动推动合作、有效协调资源、承担责任并妥善化解冲突，促进团队与组织的协同共赢,冲突管理,C27,能妥善处理团队内部的分歧与冲突，维护良好氛围,A16,
