测评维度,指标含义,问题编号,问题,计分规则
心智模式,思维开放性、成长型思维，有好奇心和开放的心态不断学习新知识、新技能、新观念,A01,善于从错误中学习,
心智模式,思维开放性、成长型思维，有好奇心和开放的心态不断学习新知识、新技能、新观念,A02,认为花时间研究与自己当前工作没有直接关系的新鲜失误是一种低效的“分心”,反，6-得分
心智模式,思维开放性、成长型思维，有好奇心和开放的心态不断学习新知识、新技能、新观念,A03,相信人的智商和能力都是可改变的,
心智模式,思维开放性、成长型思维，有好奇心和开放的心态不断学习新知识、新技能、新观念,A04,很难接受别人的批评,反，6-得分
心智模式,思维开放性、成长型思维，有好奇心和开放的心态不断学习新知识、新技能、新观念,A05,相信“保持沉默”比”提出愚蠢的问题“要好,反，6-得分
心智模式,思维开放性、成长型思维，有好奇心和开放的心态不断学习新知识、新技能、新观念,A06,我很难信任别人,反，6-得分
心智模式,思维开放性、成长型思维，有好奇心和开放的心态不断学习新知识、新技能、新观念,A07,对自己的判断和决策非常自信，很少真正怀疑自己可能是错的,反，6-得分
心智模式,思维开放性、成长型思维，有好奇心和开放的心态不断学习新知识、新技能、新观念,A08,我相信我的下属在没有我的监督和指导下也能够做出正确的事,
心智模式,思维开放性、成长型思维，有好奇心和开放的心态不断学习新知识、新技能、新观念,A09,不喜欢做没做过的事情，会担心失败,反，6-得分
自我认知,"具备明确的自我认知，清楚自身的优势与不足，了解自己的行为动机 具备较强自我认知能力的人，通常能够拥有更广阔的发展空间来提升自身素质",A10,了解自己的行事风格，也能根据他人的风格调整自己,
自我认知,"具备明确的自我认知，清楚自身的优势与不足，了解自己的行为动机 具备较强自我认知能力的人，通常能够拥有更广阔的发展空间来提升自身素质",A11,常常低估自己实际具备的能力和影响力，习惯于保持低调,反，6-得分
自我认知,"具备明确的自我认知，清楚自身的优势与不足，了解自己的行为动机 具备较强自我认知能力的人，通常能够拥有更广阔的发展空间来提升自身素质",A12,与人讨论自己的缺点和知识盲区，会让我觉得是件丢脸的事,反，6-得分
自我认知,"具备明确的自我认知，清楚自身的优势与不足，了解自己的行为动机 具备较强自我认知能力的人，通常能够拥有更广阔的发展空间来提升自身素质",A13,我就是这个样子，性格、脾气和行事风格已经定型了，没必要花太多时间和精力去改变,反，6-得分
自我认知,"具备明确的自我认知，清楚自身的优势与不足，了解自己的行为动机 具备较强自我认知能力的人，通常能够拥有更广阔的发展空间来提升自身素质",A14,凭直觉和习惯行事，很少探究行为背后的真正动机,反，6-得分
自我认知,"具备明确的自我认知，清楚自身的优势与不足，了解自己的行为动机 具备较强自我认知能力的人，通常能够拥有更广阔的发展空间来提升自身素质",A15,遇到与自己核心信念相冲突的信息时，会感到不适并倾向于忽略或拒绝它们,反，6-得分
自我认知,"具备明确的自我认知，清楚自身的优势与不足，了解自己的行为动机 具备较强自我认知能力的人，通常能够拥有更广阔的发展空间来提升自身素质",A16,事情没有做好时，更倾向于为自己辩解或找寻外部原因,反，6-得分
自我管理,在深入理解自身思维模式和心智结构的基础上，评估个体对自我管理、掌控及驾驭能力的实现程度,A17,在面对压力和不确定性时，能保持冷静和乐观，能保持理性思考和高效工作,
自我管理,在深入理解自身思维模式和心智结构的基础上，评估个体对自我管理、掌控及驾驭能力的实现程度,A18,当感到沮丧或愤怒时，仍然能以建设性的方式表达，而非攻击他人或沉默抵制,
自我管理,在深入理解自身思维模式和心智结构的基础上，评估个体对自我管理、掌控及驾驭能力的实现程度,A19,能在困境中安定人心,
自我管理,在深入理解自身思维模式和心智结构的基础上，评估个体对自我管理、掌控及驾驭能力的实现程度,A20,能够进行深刻的自我反思，并主动调整自己的领导行为,
自我管理,在深入理解自身思维模式和心智结构的基础上，评估个体对自我管理、掌控及驾驭能力的实现程度,A21,在收到反馈后，能切实的调整和改变自己的行为,
自我管理,在深入理解自身思维模式和心智结构的基础上，评估个体对自我管理、掌控及驾驭能力的实现程度,A22,不会说一套做一套，行为与其宣称的价值观和原则保持一直,
自我管理,在深入理解自身思维模式和心智结构的基础上，评估个体对自我管理、掌控及驾驭能力的实现程度,A23,遇到挫折或冲突后，需要较长时间恢复平稳心态,反，6-得分,
